#{"t_start": 1749861829.2679536, "env_id": "None"}
r,l,t
-1672.9827,302,60.992482
-1024.5994,401,61.076107
-8199.96,90,61.210794
-712.9479,401,61.329574
-1758.7031,401,61.34682
-2055.639,401,61.380894
-8457.912,95,61.532228
-1662.1565,401,61.886916
-6083.5103,127,61.905985
-10200.103,138,62.057256
-4900.071,81,62.856958
-8251.699,401,62.969973
-6338.8096,67,63.161899
-529.93445,336,63.312034
-12998.416,154,63.734603
-13520.552,243,63.818343
-2160.2986,401,63.835315
-3208.2227,59,63.935867
-2285.77,46,63.986122
-3745.5076,150,64.086541
-5062.9214,111,64.10355
-3049.1035,64,64.120589
-15712.665,205,64.353257
-523.364,401,64.419667
-8602.397,223,64.618377
-9982.962,401,64.685199
-2465.5278,401,64.735927
-3843.409,401,64.735977
-11307.288,401,64.885809
-16549.578,206,64.923256
-3892.821,401,64.959002
1507.4983,401,65.093769
-20276.852,401,65.159958
-2139.7334,70,65.291989
-6930.9204,75,65.389426
3300.4512,401,65.423579
-3381.813,66,65.539061
-19075.854,401,65.64012
-3220.2817,63,65.691185
-2105.541,41,65.843821
-3682.292,65,65.843899
-4671.7676,46,65.860881
-9158.859,106,65.877985
-10525.137,132,65.962566
-4040.6792,129,65.996487
-7205.678,78,66.232377
-3721.0422,83,66.349827
-7257.5024,401,66.41703
-6596.8276,78,66.601526
-7414.914,104,66.635677
-4397.06,64,66.771775
-9755.259,169,66.789135
-8087.716,401,66.840632
-5798.922,61,66.875126
-2941.0908,133,66.943098
-5791.265,401,66.959892
1922.2722,401,67.332241
-2413.9182,90,67.524055
-3192.4155,126,67.598887
-190.90656,401,67.885047
-3253.7898,401,68.099376
-4167.681,149,68.176008
-4755.3896,71,68.195337
-2682.5054,401,68.195378
-3673.7832,154,68.388194
-2678.0093,79,68.444663
-3649.6702,401,68.540555
-16041.005,401,68.71666
-3177.229,106,68.828326
-4404.6924,401,69.094108
-1917.7185,67,69.992298
-5901.5815,64,70.322324
-19045.55,401,70.511692
-11373.015,401,71.071438
-2967.2415,401,71.24255
-6935.6113,401,71.667051
-7606.293,254,71.78294
-1103.6033,72,71.89077
-1862.7559,401,72.073779
-3247.163,84,72.624623
-3936.1907,51,72.702369
-2360.9578,79,72.702424
-3421.4863,36,72.740754
-9827.98,401,72.778219
-3435.3848,401,73.301897
-3342.5896,401,73.321358
-1685.614,401,73.340732
-3729.8335,401,73.475072
-5972.558,97,73.69501
-5632.3906,401,73.735651
2673.9956,401,73.872071
-653.7112,401,73.945995
-4731.5933,401,74.132221
-7079.9023,76,74.132283
-12331.53,401,74.166311
-514.56134,401,74.300963
-168.02519,401,74.316696
-8859.904,102,74.49983
-4445.1597,401,74.837079
-3623.0444,401,75.002249
-12712.628,401,75.069848
-3061.7627,61,75.153847
-3203.3042,84,75.17055
-20612.06,401,75.318364
1787.3881,401,75.501095
-20400.459,401,75.565447
620.0644,401,75.582529
-4621.5283,401,75.582571
-22774.643,401,75.750571
-468.18408,401,75.801345
-3743.7266,401,75.885309
-3905.9565,401,76.136276
-4567.881,68,76.303027
-7719.9844,84,76.400496
-3920.7734,88,76.534502
-9238.977,401,77.150475
-18491.59,230,77.234036
-7235.776,401,77.432076
-3004.6438,78,77.921807
-4265.602,168,78.203062
-6885.2964,76,78.502512
-4908.3037,74,78.553426
-21898.16,339,78.603947
-20404.902,401,78.687994
-13728.129,166,78.738771
-17720.773,286,79.023173
-11494.643,214,79.156941
-8277.583,401,79.691759
1380.4094,401,79.726927
-18840.092,380,79.862024
-4879.0283,49,79.996617
-4596.851,89,80.064543
-8370.641,363,80.115446
-20645.674,332,80.149076
279.40018,401,80.181683
-6378.0337,401,80.331818
-1203.445,401,80.532987
-7895.9556,401,80.684839
-5830.816,62,80.735332
-2285.4143,71,80.917026
-2039.3676,401,80.933964
2127.5073,401,81.100854
-4662.828,401,81.117814
-7123.5356,77,81.285192
-6151.676,69,81.302097
-6788.784,330,81.365509
-7399.9316,80,81.514912
-4784.708,48,81.530499
-5771.5835,90,81.562845
-9013.161,401,81.628247
-5455.7837,58,81.645227
-5826.645,401,81.942672
-2677.4854,72,82.109959
-6601.2793,401,82.353807
2362.3635,401,82.370228
-5067.2383,401,82.370271
-4835.227,51,82.464194
1458.6472,401,82.582134
-1668.5193,75,82.799302
2689.79,401,82.917308
-1204.0905,401,83.085225
-3601.0994,401,83.185245
-10950.406,323,83.319901
-7031.5723,152,83.618458
-14139.124,168,83.718927
-8048.9707,101,83.786366
-2664.7742,86,84.018188
-8788.243,102,84.052193
-12114.664,162,84.052247
-5555.5923,61,84.103114
-3532.3494,49,84.136821
-2211.861,59,84.169604
2951.0535,401,84.220392
-7848.874,141,84.287474
-4511.717,44,84.789969
-7097.425,149,84.854899
-9979.426,116,84.854955
-7414.157,401,84.905473
-7606.9062,401,85.206197
-2214.6912,67,85.257212
-1023.55994,401,85.307727
350.75336,401,85.392182
2777.547,401,85.443073
-2758.285,401,85.727077
-5868.456,111,86.027287
-4291.295,72,86.061446
-2369.0098,49,86.139916
-2392.3384,50,86.257217
-2397.4404,53,86.371858
-4291.294,42,86.486413
-1928.1868,401,86.617521
-2603.2266,105,86.753455
-642.6357,401,86.909238
-2189.7295,401,87.133516
-2869.4087,401,87.336176
-18491.096,230,87.756213
-14380.981,401,87.92276
235.38617,401,88.091321
-10617.349,401,88.10846
-2069.7527,401,88.327833
-4983.8706,401,88.344851
-19878.887,401,88.463097
-8474.839,292,89.033773
-7880.5674,401,89.202027
7203.8525,401,89.303835
-3952.3076,72,89.303894
-4289.062,192,89.472213
-11402.789,346,89.539478
2051.0894,401,89.638898
-4851.7227,329,89.68993
-19473.195,298,89.97163
-12470.501,241,90.485399
-4586.506,401,90.55089
-721.1158,360,90.936126
-5086.6206,401,90.936188
-12208.382,401,91.053641
-6013.3877,401,91.120674
-8227.063,401,92.02942
-16243.745,401,92.079474
-17699.82,230,92.178392
-7730.048,85,92.519794
-4519.9995,44,92.75173
5199.1934,401,92.83095
2792.8892,401,92.864094
-7751.313,401,93.025199
-5479.5957,56,93.09139
-10667.453,401,93.220277
-4858.132,72,93.253253
-11738.632,138,93.318659
-3340.5278,401,93.33559
-18766.805,401,93.450248
-9959.672,401,93.579103
-1672.4647,401,93.789292
-17574.37,280,93.920515
2775.095,401,93.983544
-4921.44,401,94.397785
-4312.3525,401,94.562374
-463.91025,401,94.744127
-4579.4644,401,94.959633
-9003.879,153,95.026088
-22274.074,401,95.090463
-5674.9814,59,95.396984
2240.19,401,95.686579
-5252.4634,62,95.809424
1835.0802,401,95.861111
-2797.3054,117,95.896121
-2601.3638,401,95.964562
-1350.5244,64,96.063956
-20628.725,401,96.130398
-8460.592,401,96.196941
-2560.595,69,96.21379
-3365.3728,401,96.296107
-1233.9471,401,96.345725
-3831.7666,330,96.407966
-3261.4783,55,96.606319
-6547.9126,401,96.623129
-14526.677,203,96.640136
-1757.8668,46,96.723971
-2947.2534,56,96.824469
-4679.9287,46,96.89077
-5317.5913,54,97.088586
1011.6364,401,97.138344
1239.101,401,97.204295
-3701.748,206,97.432313
405.52023,401,97.582516
-2456.459,86,97.825989
-2034.3678,67,97.925021
-2133.3923,87,98.322131
-6374.9385,121,98.339016
-7152.5947,77,98.405514
-2418.6362,89,98.553691
-10856.814,127,98.7353
-6146.5103,66,98.916116
-6442.2817,206,99.214233
-1688.0465,401,99.394181
-11849.313,169,99.410975
-5407.492,62,99.427799
-5821.8003,401,99.477579
-7618.6357,401,99.510859
-14651.502,401,99.679702
-17139.402,213,99.728604
-3309.5234,401,99.7454
-12139.524,143,99.795207
-229.52904,401,99.87755
-14791.206,401,99.973505
-13934.255,401,99.990319
-5055.7227,401,100.105326
-4135.6836,401,100.237032
-8468.177,401,100.44852
-5079.9375,51,100.514864
-3537.96,56,100.647763
-11994.135,164,101.040232
-6304.573,70,101.138178
-4520.0,44,101.169497
-4240.6475,149,101.185122
-4483.942,401,101.218205
-4101.2476,61,101.234859
-5881.0215,115,101.365701
-4883.021,401,101.744962
-3417.6333,112,101.809491
-2929.3113,401,102.02504
-6344.297,348,102.025096
-3703.4985,86,102.058429
-20532.879,401,102.46855
-2020.2588,82,102.568893
-1313.5599,401,102.667271
-3257.5322,306,102.966385
-4039.9954,38,103.098677
-6499.5957,107,103.132322
-1280.6858,401,103.215903
-9430.682,210,103.24957
-11018.757,129,103.266653
-13724.132,401,103.333622
-7115.253,131,103.333672
-5992.588,93,103.568281
-1628.2733,67,103.879126
-8705.445,401,103.912849
-8195.748,204,103.97999
-1790.8816,10,104.047137
-4039.976,38,104.064775
-7102.7334,134,104.06482
-1690.49,47,104.098449
-2571.3257,57,104.302056
-1460.3151,401,104.302118
-4369.0845,52,104.302131
-6359.676,67,104.319314
-2922.5989,96,104.83307
-229.67477,401,105.049818
-5559.94,57,105.250241
-12297.73,401,105.284292
-1476.7041,401,105.649485
-7713.84,84,105.717129
-3005.6597,62,105.868746
-14000.27,172,105.935843
-3225.893,40,105.95292
-1677.2252,401,105.952961
-7107.4233,123,106.119358
-13691.099,401,106.136243
-8514.753,401,106.153194
574.95807,401,106.170343
-5443.137,401,106.255865
1097.5988,401,106.487973
679.2689,401,106.617435
-1257.1737,401,106.850837
-5559.7363,57,107.083687
-4894.462,49,107.301854
-7399.6855,80,107.503464
-8028.7617,89,107.634757
2231.3281,401,107.802178
-5808.0767,401,107.954077
-7936.5566,401,108.004845
-6230.2656,94,108.189912
-19219.592,239,108.292938
-3547.62,401,108.593377
-4103.769,62,108.675708
-3442.5933,401,108.808027
1349.5387,401,108.842164
-2683.506,46,108.959818
-4597.2036,45,109.040761
-7633.168,83,109.341744
-3456.5654,45,109.341807
-6444.193,401,109.358761
-7505.441,82,109.375735
-5237.2764,53,109.690515
-11179.999,131,109.690576
-2648.3218,61,109.690589
3395.3735,401,110.055201
-5511.866,57,110.305587
-22522.621,401,110.356318
-7950.1187,401,110.605367
-752.32263,401,110.672414
-3663.0635,401,110.739332
-610.3066,401,110.756337
-7649.499,84,110.773326
-7267.715,401,110.790276
2667.583,401,110.991571
-7479.762,81,111.040873
-3479.789,31,111.25455
-4679.379,46,111.369841
-11173.642,401,111.73187
-8488.258,401,111.92981
-7156.8423,77,112.028527
-8149.961,401,112.325855
-4085.308,78,112.325914
939.8825,401,112.38934
-5949.1196,63,112.406071
-4585.513,135,112.538701
-141.10207,401,112.53876
-2407.6626,401,112.60267
-11953.872,401,112.618883
-7148.2373,401,112.618931
-2509.7632,401,112.784452
-15400.578,401,112.916861
-4199.999,40,112.983037
-2852.04,64,112.983092
-5551.309,58,112.983104
-3279.847,44,113.1148
-3689.1694,49,113.214197
-8597.638,96,113.313718
-11946.056,224,113.39641
-3874.2,401,113.511829
-9297.112,195,113.577638
-4130.33,64,113.594601
-11599.67,401,113.738455
-2529.034,51,113.754315
-6565.9536,401,113.95136
-2688.834,86,114.033497
-4759.2646,47,114.08287
-4308.34,60,114.09955
-6642.417,82,114.133031
3498.5386,401,114.436455
-5397.546,55,114.468478
-7384.6807,101,114.635428
-5399.991,55,114.635491
-3959.9763,37,114.698253
-5398.974,55,114.845822
-5305.936,54,115.00731
-4019.031,38,115.316
-1829.6454,54,115.349115
-14781.564,177,115.431844
-14539.984,173,115.448784
-5225.575,401,115.448828
-5118.9614,115,115.465419
-11431.44,401,115.560328
-5645.2896,74,115.642709
-2541.6648,401,115.642772
-3338.8203,64,115.882821
-3150.5842,401,115.932181
-5696.5884,401,115.932235
-7517.502,82,115.96226
-4199.9746,40,116.076381
-1411.6719,9,116.10932
-1982.302,43,116.142041
-5206.4185,53,116.206099
-5078.7437,51,116.272632
516.17474,401,116.272695
-5239.9043,53,116.322476
-2500.5552,105,116.339115
-2996.283,87,116.420593
-7399.9834,80,116.61544
-1542.6803,401,116.632024
-5210.796,61,116.876862
-5076.888,60,117.055385
-8844.148,401,117.233736
-1239.5283,401,117.332067
-12550.407,401,117.34867
-5590.1973,401,117.545255
-24001.172,401,117.802247
-6187.974,65,117.933209
-9407.048,115,118.015133
-4567.1445,50,118.146562
-13419.541,160,118.816746
391.91312,401,118.866338
-5738.1436,82,118.883015
-2696.7178,55,118.915922
-13338.015,158,118.915968
-5036.426,97,118.930948
-16654.45,207,119.012309
-4989.6904,153,119.11093
-3776.8994,116,119.127954
-1970.7964,401,119.144751
-3962.8198,62,119.16142
-8449.182,96,119.372321
-6005.665,401,119.515575
188.01355,401,119.51564
-4359.529,42,119.564587
-3522.541,40,119.580017
-4359.6133,42,119.596477
-4210.407,42,119.692652
187.55135,401,119.742138
-4679.9995,46,119.853982
-4669.622,46,119.869218
-4889.2803,401,119.918243
-4360.489,401,120.030495
-4178.576,40,120.221548
-12719.477,401,120.270758
-4039.9646,38,120.303273
-2928.407,47,120.320024
-3714.9165,34,120.399663
-5077.719,51,120.416633
1913.7098,401,120.545325
-6279.999,66,120.577399
-9455.813,401,120.593712
-3664.099,54,120.610258
-4630.766,70,120.643058
-4759.8867,47,120.674922
-4773.06,55,120.755102
-2097.8296,102,120.801659
-3152.1843,91,120.834837
-2232.3823,36,120.883389
-2904.8906,62,121.030186
-5476.872,61,121.255488
-2502.69,46,121.337223
-5239.7397,53,121.402356
-2945.865,76,121.451534
-9837.522,318,121.484446
-3952.641,69,121.720034
-4519.209,44,121.736828
-15397.79,401,122.064774
-5158.926,52,122.098096
-7399.8926,80,122.13111
-478.90836,401,122.147697
-5060.498,52,122.327099
-10002.008,118,122.327161
-4280.0,41,122.392964
-5606.8057,99,122.409568
-823.10834,401,122.442673
-3146.696,401,122.44272
-6119.456,64,122.489913
360.96664,401,122.619525
-4958.1104,124,122.68357
-5027.3213,401,122.77967
-1738.2306,401,122.779726
-5944.1416,401,122.924684
-1527.858,11,122.957561
-3879.984,36,122.973405
-6290.605,315,123.037623
-5559.9995,57,123.054223
-5799.7695,60,123.070401
1743.8004,401,123.133772
-4031.0022,51,123.150514
-5999.472,70,123.279205
-2090.5698,58,123.376699
-5854.709,61,123.391909
1033.2761,401,123.552925
-3634.9062,33,123.569335
-3015.4229,65,123.726926
-7665.9585,89,123.920419
-2648.9258,203,124.033735
-1726.7886,64,124.097305
-5379.4863,63,124.163424
-9366.95,120,124.259941
-5409.998,80,124.260003
-2120.25,57,124.308187
-3304.3784,111,124.404095
-5446.456,57,124.484163
